Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
11,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,A social science,All or almost all the time (I'm full-time remote),100 to 499 employees,Venture-funded startup,12 to 13 years,11 to 12 years,NA,NA,NA,NA,Other,8,9,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am not interested in new job opportunities,NA,Between 1 and 2 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours; Remote options,No,LinkedIn; Monster; Other,NA,I visited the company's Web site and found a job listing there,Very important,Not very important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,NA,NA,Tabs,NA,Online course; On-the-job training; Self-taught,Official documentation; Trade book; Stack Overflow Q&A,NA,NA,6:00 AM,R; SQL,C#; R; SQL,NA,NA,SQL Server,SQL Server,NA,NA,Visual Studio,Turn on some music,Agile; Scrum; Pair,Git,Just a few times over the year,Somewhat agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,10,Desktop; iOS browser; iOS app,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,At least once each week,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Female,"Some college/university study, no bachelor's degree",White or of European descent,Strongly disagree,Agree,Strongly disagree,Strongly agree,NA,NA
12,Professional developer,No,Canada,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",13 to 14 years,8 to 9 years,NA,Web developer,Back-end Web developer,NA,NA,8,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canadian dollars (C$),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not much influence,Some influence,Not much influence,Not much influence,Some influence,Not much influence,Not much influence,Not much influence,No influence at all,No influence at all,Not much influence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Used to be a professional developer,"Yes, I program as a hobby",United Kingdom,No,"Not employed, but looking for work",Bachelor's degree,Mathematics or statistics,NA,NA,NA,20 or more years,NA,17 to 18 years,NA,NA,NA,NA,3,NA,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Somewhat agree,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am actively looking for a job,1,More than 4 years ago,Important,Somewhat important,Important,Important,Very important,Important,Important,Very important,Somewhat important,Not at all important,Not very important,Important,Not very important,Not very important,Somewhat important,Retirement; Vacation/days off; Equipment; Professional development sponsorship; Expected work hours,No,LinkedIn,NA,NA,Important,Somewhat important,Not at all important,Not at all important,Not at all important,Not very important,Not at all important,Important,Not very important,Very important,NA,NA,Spaces,NA,NA,NA,NA,NA,10:00 AM,C; C++; Java,NA,NA,NA,NA,NA,NA,NA,NA,Turn on some music,NA,Zip file back-ups,Never,Agree,Agree,Agree,Somewhat agree,Strongly agree,Disagree,Strongly agree,Customer satisfaction; Benchmarked product performance; On time/in budget; Revenue performance; Manager's rating,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,5,Desktop,Once or twice,Haven't done at all,Once or twice,Several times,At least once each week,Once or twice,Several times,Once or twice,Strongly disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Male,A bachelor's degree,White or of European descent,Disagree,Somewhat agree,Disagree,Agree,NA,NA
14,Professional developer,"Yes, both",Germany,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",Fewer than 10 employees,Venture-funded startup,15 to 16 years,15 to 16 years,NA,Web developer,Full stack Web developer,NA,NA,8,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am actively looking for a job,3,Between 1 and 2 years ago,Somewhat important,Important,Important,Somewhat important,Important,Somewhat important,Important,Somewhat important,Important,Important,Important,Important,Not very important,Important,Important,Stock options; Vacation/days off; Equipment; Professional development sponsorship; Remote options,Yes,LinkedIn; Xing,I was just giving it a regular update,"A friend, family member, or former colleague told me",Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Somewhat important,Important,NA,NA,Spaces,Not at all important,Part-time/evening course; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A,NA,NA,10:00 AM,Java; JavaScript; Ruby; SQL,JavaScript; Ruby; Rust; Swift,React,React,Redis; MySQL; PostgreSQL,Redis; PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Vim,Turn on some music,Agile; Lean; Scrum; Extreme; Pair; Kanban,Git,Multiple times a day,Somewhat agree,Disagree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Customer satisfaction; Benchmarked product performance; On time/in budget; Revenue performance; Manager's rating; Peers' rating; Self-rating,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Not very satisfied,A lot of influence,Some influence,I am the final decision maker,I am the final decision maker,I am the final decision maker,A lot of influence,I am the final decision maker,I am the final decision maker,Some influence,A lot of influence,Some influence,I have created a CV or Developer Story on Stack Overflow,10,Desktop,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Several times,Haven't done at all,Somewhat agree,Somewhat agree,Disagree,Agree,Strongly agree,Agree,Somewhat agree,Disagree,Female,A master's degree,Hispanic or Latino/Latina,Somewhat agree,Agree,Disagree,Strongly agree,NA,NA
15,Professional developer,"Yes, I program as a hobby",United Kingdom,No,Employed full-time,Professional degree,Computer engineering or electrical/electronics engineering,All or almost all the time (I'm full-time remote),"5,000 to 9,999 employees",Publicly-traded corporation,20 or more years,20 or more years,NA,Embedded applications/devices developer,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Agree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,LinkedIn,A recruiter contacted me,An external recruiter or headhunter,Important,Important,Important,Somewhat important,Not very important,Somewhat important,Somewhat important,Important,Important,Important,British pounds sterling (£),Somewhat underpaid,Spaces,NA,NA,NA,NA,NA,9:00 AM,Assembly; C; C++,Assembly; C; C++; Python,NA,NA,NA,NA,Mac OS,Mac OS,Emacs; Xcode,Keep the room absolutely quiet,NA,Git,Multiple times a day,Disagree,Agree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Customer satisfaction; On time/in budget; Manager's rating; Peers' rating; Self-rating,Satisfied,Somewhat satisfied,Satisfied,Somewhat satisfied,Satisfied,Somewhat satisfied,A lot of influence,Not much influence,Not much influence,No influence at all,Not much influence,No influence at all,No influence at all,No influence at all,Not much influence,No influence at all,No influence at all,I have created a CV or Developer Story on Stack Overflow,8,Desktop; iOS browser; iOS app,Several times,Once or twice,Several times,Several times,Several times,Once or twice,At least once each day,Several times,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Disagree,Male,High school,White or of European descent,Somewhat agree,Agree,Disagree,Agree,1e5,NA
16,Professional developer,"Yes, I program as a hobby",United States,"Yes, part-time","Independent contractor, freelancer, or self-employed",Primary/elementary school,NA,All or almost all the time (I'm full-time remote),NA,NA,11 to 12 years,1 to 2 years,NA,Desktop applications developer,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,"I'm not actively looking, but I am open to new opportunities",0,Between 2 and 4 years ago,Somewhat important,Not very important,Important,Somewhat important,Very important,Important,Important,Important,Important,Very important,Somewhat important,Somewhat important,Not at all important,Important,Somewhat important,Equipment; Private office; Expected work hours; Remote options; Meals,No,NA,"I completed a major project, assignment, or contract",NA,Somewhat important,Somewhat important,Somewhat important,Important,Not very important,Not very important,Not very important,Not very important,Not very important,Very important,NA,NA,Tabs,NA,NA,NA,NA,NA,10:00 AM,JavaScript; VB.NET,C#; F#; JavaScript; R; VB.NET,NA,Xamarin; .NET Core,NA,SQL Server,Windows Desktop,Windows Desktop,Notepad++; Visual Studio,Keep the room absolutely quiet,NA,Git,A few times a week,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Somewhat agree,Customer satisfaction; Benchmarked product performance; On time/in budget,Satisfied,Satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop; Android browser; Android app,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Once or twice,Disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Agree,Disagree,Male,A doctoral degree,White or of European descent,Disagree,Somewhat agree,Strongly disagree,Agree,NA,NA
17,Professional developer,"Yes, both",United Kingdom,No,"Not employed, and not looking for work",Secondary school,NA,NA,NA,NA,8 to 9 years,8 to 9 years,NA,Web developer,Full stack Web developer,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",2,Less than a year ago,Important,Not very important,Somewhat important,Not very important,Important,Very important,Important,Important,Very important,Important,Not very important,Important,Very important,Very important,Not very important,Vacation/days off; Health benefits; Expected work hours; Remote options; Meals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spaces,Not at all important,Online course; Bootcamp; Industry certification; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Non-Stack online communities; Built-in help,I already had a job as a developer when I started the program,NA,10:00 AM,JavaScript,Clojure,AngularJS; Node.js; React; Cordova,NA,NA,NA,Amazon Web Services (AWS),NA,Emacs; Vim,Something else,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,7,Desktop; Android browser,Several times,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Male,High school,White or of European descent,Disagree,Agree,Strongly disagree,Strongly agree,NA,NA
18,Professional developer,"Yes, both",United States,"Yes, part-time",Employed full-time,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,20 or more years,NA,Web developer; Embedded applications/devices developer; DevOps specialist; Quality assurance engineer; Other,NA,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",NA,More than 4 years ago,Important,Important,Important,Very important,Very important,Important,Important,Important,Very important,Very important,Important,Important,Somewhat important,Important,Somewhat important,Vacation/days off; Health benefits; Expected work hours; Remote options,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Neither underpaid nor overpaid,Spaces,Important,On-the-job training; Self-taught; Coding competition; Open source contributions,Official documentation; Stack Overflow Q&A; Other,NA,NA,10:00 AM,C; Clojure; JavaScript; Matlab; Rust; SQL; Swift,Assembly; Clojure; Go; JavaScript; Rust; Swift; TypeScript,React,React; .NET Core,MySQL; PostgreSQL; Oracle,NA,Linux Desktop; Amazon Web Services (AWS),Android; iOS; Linux Desktop; Arduino; Serverless; Amazon Web Services (AWS),Emacs; Vim,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat satisfied,Not very satisfied,Not very satisfied,Somewhat satisfied,Not very satisfied,Somewhat satisfied,A lot of influence,Some influence,Not much influence,Some influence,A lot of influence,Not much influence,Some influence,A lot of influence,Not much influence,Not much influence,A lot of influence,I have created a CV or Developer Story on Stack Overflow,8,Desktop; Android browser,At least once each week,At least once each week,Once or twice,Haven't done at all,Haven't done at all,At least once each week,At least once each week,Haven't done at all,Somewhat agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Male,A master's degree,"Native American, Pacific Islander, or Indigenous Australian; White or of European descent",Disagree,Agree,Disagree,Agree,13e4,NA
19,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,2 to 3 years,3 to 4 years,NA,Web developer,Full stack Web developer,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Somewhat agree,Agree,Disagree,Disagree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Somewhat overpaid,NA,Important,Self-taught; Hackathon,Stack Overflow Q&A; Other,NA,Get a job as a QA tester; Conferences/meet-ups,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82500,NA
20,Professional developer,"Yes, I program as a hobby",Greece,No,Employed full-time,Doctoral degree,A natural science,"Less than half the time, but at least one day each week",Fewer than 10 employees,Venture-funded startup,12 to 13 years,12 to 13 years,NA,Data scientist; Other,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,"I completed a major project, assignment, or contract",I was contacted directly by someone at the company (e.g. internal recruiter),Important,Somewhat important,Important,Somewhat important,Not very important,Not very important,Not very important,Not very important,Not very important,Very important,Euros (€),NA,Tabs,Very important,On-the-job training; Self-taught,Official documentation; Stack Overflow Q&A; Friends network; Built-in help,NA,NA,Noon,Perl; Python,Perl; Python,NA,NA,MySQL,PostgreSQL,NA,NA,Emacs,Turn on some music,Agile; Scrum,Git,Multiple times a day,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Disagree,Customer satisfaction; Benchmarked product performance; On time/in budget; Peers' rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,9,Desktop; Android browser; Android app,At least once each week,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Several times,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Male,A master's degree,I prefer not to say,Agree,Somewhat agree,Disagree,Somewhat agree,NA,NA
21,Professional developer,"Yes, I program as a hobby",Brazil,No,Employed full-time,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees","Privately-held limited company, not in startup mode",5 to 6 years,Less than a year,NA,Web developer,Full stack Web developer,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brazilian reais (R$),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Professional developer,"Yes, I program as a hobby",United Kingdom,No,Employed full-time,Bachelor's degree,A natural science,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,NA,Web developer; Mobile developer; Desktop applications developer; DevOps specialist; Other,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",1,More than 4 years ago,Somewhat important,Important,Important,Important,Very important,Very important,Very important,Very important,Very important,Important,Not very important,Important,Not very important,Important,Somewhat important,Vacation/days off; Health benefits; Equipment; Professional development sponsorship; Remote options,No,LinkedIn; Other,I received bad news about the future of my company or depart,An external recruiter or headhunter,Somewhat important,Important,Somewhat important,Not very important,Somewhat important,Not at all important,Not very important,Somewhat important,Not very important,Important,NA,NA,Tabs,Somewhat important,Online course; Industry certification; On-the-job training; Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,NA,10:00 AM,C#; JavaScript; SQL,C#; R; TypeScript,AngularJS,React; .NET Core,SQL Server,MongoDB; Redis,Windows Phone; Windows Desktop; Raspberry Pi; Microsoft Azure,Windows Phone; Windows Desktop; Microsoft Azure,Notepad++; Visual Studio; Visual Studio Code,Keep the room absolutely quiet,Waterfall; Agile; Scrum; Domain-driven design,Team Foundation Server,Multiple times a day,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly agree,Customer satisfaction; Peers' rating; Self-rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,9,Desktop,Several times,Several times,Once or twice,Haven't done at all,Once or twice,Several times,Several times,Once or twice,Somewhat agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Disagree,Male,A bachelor's degree,White or of European descent,Somewhat agree,Somewhat agree,Disagree,Agree,NA,NA
23,Professional developer,No,Israel,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",10 to 11 years,5 to 6 years,NA,Other,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am not interested in new job opportunities,NA,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retirement; Annual bonus; Vacation/days off; Expected work hours; Remote options,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Neither underpaid nor overpaid,Both,Important,Self-taught,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Friends network,NA,NA,9:00 AM,Java,Java; Scala; Swift,Hadoop; Spark,Spark,Cassandra; MySQL,MongoDB,NA,NA,Atom; Vim; IntelliJ,Turn on some music,Waterfall; Scrum; Kanban,Git,Multiple times a day,Somewhat agree,Disagree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Customer satisfaction; On time/in budget; Revenue performance; Peers' rating,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot of influence,Some influence,No influence at all,No influence at all,A lot of influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8,Desktop; iOS browser,At least once each day,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Male,A bachelor's degree,White or of European descent,Strongly agree,Somewhat agree,Somewhat agree,Agree,100764,NA
24,Professional developer,"Yes, both",Italy,No,"Independent contractor, freelancer, or self-employed",Secondary school,NA,All or almost all the time (I'm full-time remote),NA,NA,9 to 10 years,7 to 8 years,NA,Web developer,Full stack Web developer,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LinkedIn,I was just giving it a regular update,NA,Important,Very important,Very important,Somewhat important,Important,Somewhat important,Somewhat important,Not very important,Somewhat important,Somewhat important,NA,NA,Spaces,Not at all important,Online course; Self-taught; Coding competition; Hackathon; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Friends network,NA,Take online courses; Contribute to open source; Buy books and work through the exercises; Conferences/meet-ups,3:00 PM,PHP; SQL,Hack; JavaScript; PHP; SQL; Swift,NA,Node.js; React,MySQL,Redis; MySQL; PostgreSQL,Windows Desktop; WordPress,Windows Desktop; Amazon Web Services (AWS),PHPStorm,Turn on some music,Waterfall; Agile; Lean; Scrum; Extreme; Kanban; Domain-driven design,Git,A few times a week,Disagree,Disagree,Strongly disagree,Agree,Somewhat agree,Disagree,Strongly disagree,Bugs found; Hours worked; Release frequency; Customer satisfaction; On time/in budget; Revenue performance,Satisfied,Somewhat satisfied,Satisfied,Satisfied,Satisfied,Not very satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,8,Desktop; iOS browser,Several times,Several times,Once or twice,Haven't done at all,Haven't done at all,Once or twice,Once or twice,Haven't done at all,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Disagree,Male,High school,White or of European descent,Agree,Agree,Disagree,Agree,NA,NA
